x	y	classify	taxa	attr1	attr2
-20.36702533	123.0085514	3	A73	-20.36702533	123.0085514
187.1674141	-69.22217731	2	A74	187.1674141	-69.22217731
134.3808255	178.8831419	3	A75	134.3808255	178.8831419
124.3268643	-34.90326336	2	A76	124.3268643	-34.90326336
-7.857613581	42.54259379	3	A77	-7.857613581	42.54259379
-56.61480422	-272.3664163	4	A78	-56.61480422	-272.3664163
-170.1091172	2.558670196	1	A79	-170.1091172	2.558670196
-100.0540987	-170.6672125	5	A80	-100.0540987	-170.6672125
-75.70111009	21.54130937	3	A81	-75.70111009	21.54130937
-180.1531115	-2.761028144	1	A82	-180.1531115	-2.761028144
-160.3185602	147.7165133	3	A83	-160.3185602	147.7165133
-82.07499204	-3.24594874	3	A84	-82.07499204	-3.24594874
-86.28086506	171.3957206	1	A85	-86.28086506	171.3957206
-188.4701793	10.6407096	1	A86	-188.4701793	10.6407096
-26.39525073	169.6741243	3	A87	-26.39525073	169.6741243
-51.74093873	173.2555388	3	A88	-51.74093873	173.2555388
154.1683622	-186.1575518	4	A89	154.1683622	-186.1575518
108.8740481	129.5369839	3	A90	108.8740481	129.5369839
-165.7359693	13.87736	1	A91	-165.7359693	13.87736
-211.0548284	52.59632278	1	A92	-211.0548284	52.59632278
25.97806568	6.275822341	3	A93	25.97806568	6.275822341
63.93205182	178.6760838	3	A94	63.93205182	178.6760838
-62.98304782	78.12435434	3	A95	-62.98304782	78.12435434
-208.2027152	14.89487078	1	A96	-208.2027152	14.89487078
214.4742584	-40.70050802	5	A97	214.4742584	-40.70050802
-71.28975446	138.526631	3	A98	-71.28975446	138.526631
-163.6511223	-48.86163991	1	A99	-163.6511223	-48.86163991
34.64099703	49.99715041	3	A100	34.64099703	49.99715041
-83.28284353	86.75393218	3	A101	-83.28284353	86.75393218
89.61456547	-203.3734162	4	A102	89.61456547	-203.3734162
-11.40884253	27.89983847	3	A103	-11.40884253	27.89983847
84.20501789	-218.0548982	4	A104	84.20501789	-218.0548982
194.8153401	16.30121546	2	A105	194.8153401	16.30121546
-181.2420388	102.3267471	4	A106	-181.2420388	102.3267471
-38.62360497	-145.4710231	2	A107	-38.62360497	-145.4710231
-56.57956893	227.8586961	5	A108	-56.57956893	227.8586961
-19.11613496	215.3580476	2	A109	-19.11613496	215.3580476
-50.22268176	-137.941058	2	A110	-50.22268176	-137.941058
-243.0247471	22.19207876	1	A111	-243.0247471	22.19207876
-25.26978628	27.67480987	3	A112	-25.26978628	27.67480987
-87.18390051	-138.4850955	2	A113	-87.18390051	-138.4850955
-146.9982937	-26.27195264	1	A114	-146.9982937	-26.27195264
-83.43648276	81.92428555	3	A115	-83.43648276	81.92428555
63.98710891	-235.8564895	4	A116	63.98710891	-235.8564895
124.6742137	-208.4119806	4	A117	124.6742137	-208.4119806
80.905037	-178.7110799	4	A118	80.905037	-178.7110799
40.39173302	83.85952909	3	A119	40.39173302	83.85952909
-14.3927017	120.7256777	3	A120	-14.3927017	120.7256777
141.8594007	-57.06059476	2	A121	141.8594007	-57.06059476
135.1255634	-192.4001109	4	A122	135.1255634	-192.4001109
110.9882664	-28.84600962	2	A123	110.9882664	-28.84600962
-208.5471479	-86.90427897	3	A124	-208.5471479	-86.90427897
-154.1014131	-11.45814502	1	A125	-154.1014131	-11.45814502
-156.201512	1.094561368	1	A126	-156.201512	1.094561368
-190.808013	-5.661997972	1	A127	-190.808013	-5.661997972
-61.08957788	112.5379246	3	A128	-61.08957788	112.5379246
30.94717787	-226.7416583	4	A129	30.94717787	-226.7416583
-169.8933383	-135.014046	2	A130	-169.8933383	-135.014046
213.035191	-19.72158621	5	A131	213.035191	-19.72158621
-169.16653	169.7470954	3	A132	-169.16653	169.7470954
-50.77409127	290.8098087	5	A133	-50.77409127	290.8098087
56.34323744	123.1051506	3	A134	56.34323744	123.1051506
-63.12533809	167.6203716	3	A135	-63.12533809	167.6203716
112.5743861	-214.5479659	4	A136	112.5743861	-214.5479659
160.0791232	-46.15782056	2	A137	160.0791232	-46.15782056
22.15269657	96.39335138	3	A138	22.15269657	96.39335138
82.83322584	-127.9810319	4	A139	82.83322584	-127.9810319
-115.4092248	-190.846616	5	A140	-115.4092248	-190.846616
-6.719293058	79.65309133	3	A141	-6.719293058	79.65309133
-214.9285002	-0.626028716	1	A142	-214.9285002	-0.626028716
-31.05875079	62.39649839	3	A143	-31.05875079	62.39649839
-28.36893575	-226.6365003	4	A144	-28.36893575	-226.6365003
105.4370821	2.676752308	2	A145	105.4370821	2.676752308
-144.1748624	-208.0577967	5	A146	-144.1748624	-208.0577967
-227.2314788	38.59201337	1	A147	-227.2314788	38.59201337
-36.08485032	12.6690903	3	A148	-36.08485032	12.6690903
144.977514	-58.73381231	2	A149	144.977514	-58.73381231
214.1607097	79.69903998	2	A150	214.1607097	79.69903998
97.72298334	-22.99718902	2	A151	97.72298334	-22.99718902
113.5217649	-19.83814931	2	A152	113.5217649	-19.83814931
-115.282223	137.3094072	3	A153	-115.282223	137.3094072
-58.91918879	91.23436323	3	A154	-58.91918879	91.23436323
126.0429209	-50.39259518	2	A155	126.0429209	-50.39259518
-41.5215168	25.53566441	3	A156	-41.5215168	25.53566441
-81.1490107	-75.00791497	3	A157	-81.1490107	-75.00791497
50.84161224	181.4416982	1	A158	50.84161224	181.4416982
-142.7355434	-9.35067353	1	A159	-142.7355434	-9.35067353
107.1998492	-45.05011432	2	A160	107.1998492	-45.05011432
-229.037858	-34.64317113	1	A161	-229.037858	-34.64317113
-134.3445059	87.82406566	2	A162	-134.3445059	87.82406566
12.78002931	-212.7036694	4	A163	12.78002931	-212.7036694
-20.57513525	40.29099842	3	A164	-20.57513525	40.29099842
-275.8622969	-64.47629381	1	A165	-275.8622969	-64.47629381
127.508846	44.28567182	2	A166	127.508846	44.28567182
192.3025596	153.9584654	5	A167	192.3025596	153.9584654
25.72858729	-216.6297549	4	A168	25.72858729	-216.6297549
136.4375967	-50.07633592	2	A169	136.4375967	-50.07633592
-103.2192535	92.50137445	3	A170	-103.2192535	92.50137445
